Company,Ticker
Acorda Therapeutics Inc,ACOR
Advanced Energy Industries Inc.,AEIS
AEterna Zentaris Inc,AEZS
Altria Group Inc,MO
Applied Materials Inc.,AMAT
Argan Inc,AGX
Asanko Gold Inc,AKG
Block H&amp;R Inc,HRB
BP Prudhoe Bay Royalty Trust,BPT
Corus Entertainment Inc,CJREF
Deluxe Corp,DLX
DHI Group Inc,DHX
Electro Scientific Industries Inc,ESIO
Finjan Holdings Inc,FNJN
FTS International Inc,FTSI
GameStop Corp.,GME
Gilead Sciences Inc,GILD
Graftech International Ltd,EAF
Heidrick &amp; Struggles International Inc,HSII
HP Inc,HPQ
Immersion Corp,IMMR
InterDigital Inc,IDCC
inTest Corp,INTT
KLA-Tencor Corp,KLAC
Lam Research Corp,LRCX
Largo Resources Ltd,LGORF
Lee Enterprises Inc,LEE
Liberty TripAdvisor Holdings Inc,LTRPA
MasterCraft Boat Holdings Inc,MCFT
Mesabi Trust,MSB
MSG Networks Inc,MSGN
Natural Health Trends Corp,NHTC
Nektar Therapeutics,NKTR
NIC Inc,EGOV
North European Oil Royalty Trust,NRT
PetMed Express Inc,PETS
Seagate Technology Plc,STX
Sequential Brands Group Inc,SQBG
SIGA Technologies Inc,SIGA
SP Plus Corp,SP
Systemax Inc.,SYX
Tivity Health Inc,TVTY
Tupperware Brands Corp,TUP
Turtle Beach Corp,HEAR
Unisys Corp,UIS
United Therapeutics Corp,UTHR
Vaalco Energy Inc,EGY
Vectrus Inc,VEC
Viacom Inc,VIAB
Western Digital Corp,WDC
